0,1,2,3,4,5,6
William R. White , Memoranda ," received, 1977.",,,,
William R. White , Memoranda ," received, January ", June 1978.,,,
William R. White , Memoranda ," received, July ", December 1978.,,,
William R. White , Memoranda ," received, 1979.",,,,
William R. White , Memoranda ," received, 1980.",,,,
William R. White , Memoranda ," received, 1981.",,,,
William R. White , Memoranda ," received, January ", March 1982.,,,
William R. White , Memoranda ," received, April ", December 1982.,,,
William R. White , Memoranda ," received from the Press Department, 1976",1979.,,,
William R. White , Memoranda ," to JHG, 1976.",,,,
William R. White , Memoranda ," to JHG, 1977.",,,,
William R. White , Memoranda ," to JHG, 1978.",,,,
William R. White , Memoranda ," to JHG, 1979.",,,,
William R. White , Memoranda ," to JHG, 1980.",,,,
William R. White , Memoranda ," to JHG, 1981.",,,,
William R. White , Memoranda ," to JHG, 1982.",,,,
William R. White , Memoranda ," to JHG, undated.",,,,
William R. White , Memoranda ," on legislative matters, 1976",1977.,,,
William R. White , Memoranda ," on legislative matters, January ", June 1978.,,,
William R. White , Memoranda ," on legislative matters, July ", August 1978.,,,
William R. White , Memoranda ," on legislative matters, September ", December 1978.,,,
William R. White , Memoranda ," on legislative matters, 1979.",,,,
William R. White , Memoranda ," on legislative matters, 1980",1982.,,,
William R. White , Legislation Files ," abortion, 1976",1979.,,,
William R. White , Legislation Files ," appropriations, 1976",1979.,,,
William R. White , Legislation Files , armed services ( B,1; F,14; and the F,"18 aircraft and neutron bomb), 1975", 1978.
William R. White , Legislation Files ," arson, 1978",1981.,,,
William R. White , Legislation Files ," banking, housing, and urban affairs, 1975",1978.,,,
William R. White , Legislation Files ," Black Lung Benefit Program, 1976",1977.,,,
William R. White , Legislation Files ," civil rights, 1978.",,,,
William R. White , Legislation Files ," Consumer Communications Reform Act, 1976",1977.,,,
William R. White , Legislation Files ," Consumer Communications Reform Act,  background materials, 1975",1976.,,,
William R. White , Legislation Files ," energy, 1979.",,,,
William R. White , Legislation Files ," environment, 1977",1978.,,,
William R. White , Legislation Files ," Equal Rights Amendment, 1978.",,,,
William R. White , Legislation Files ," executive reorganization, 1977",1978.,,,
William R. White , Legislation Files ," health issues, 1977",1978.,,,
William R. White , Legislation Files ," Illinois Brick decision, 1978",1979.,,,
William R. White , Legislation Files ," inflation issues, 1978",1979.,,,
William R. White , Legislation Files ," judiciary matters, 1977",1978 and no date.,,,
William R. White , Legislation Files ," laser fusion, 1975.",,,,
William R. White , Legislation Files ," MX missile, 1981.",,,,
William R. White , Legislation Files , National  Afro,"American Museum, Wilberforce, Ohio, 1979.",,,
William R. White , Legislation Files ," natural gas, 1977",1978.,,,
William R. White , Legislation Files ," Ohio legislative issues, 1978",1979.,,,
William R. White , Legislation Files ," private foundation investment in public utilities, 1977",1978.,,,
William R. White , Legislation Files ," revenue sharing, 1975.",,,,
William R. White , Legislation Files ," sunset review of tax expenditure, 1978",1979.,,,
William R. White , Legislation Files ," state legislature per diem tax reduction, 1978.",,,,
William R. White , Legislation Files ," transportation issues, 1975",1980.,,,
William R. White , Legislation Files ," Treasury Department matters, 1977",1978.,,,
William R. White , Legislation Files ," Uranium Enrichment Production (Portsmouth/Piketon plant), 1975 ", May 1976.,,,
William R. White , Legislation Files ," Uranium Enrichment Production (Portsmouth/Piketon plant), June ", December 1976.,,,
William R. White , Legislation Files ," Uranium Enrichment Production (Portsmouth/Piketon plant), 1977",1978.,,,
William R. White , Legislation Files ," utility reform, 1976",1978.,,,
William R. White , Legislation Files ," veterans, 1977.",,,,
William R. White , Subject Files ," Aeroquip Company plant (Youngstown), 1978.",,,,
William R. White , Subject Files ," African American issues, 1976",1978.,,,
William R. White , Subject Files ," agriculture issues, 1977",78.,,,
William R. White , Subject Files ," agriculture issues, 1980",1982.,,,
William R. White , Subject Files ," banking, Depository Institutions Deregulation Committee, 1979",1982.,,,
William R. White , Subject Files ," Bragaw, Richard S., 1977",1978.,,,
William R. White , Subject Files ," Buckeye Federal Savings and Loan, 1977.",,,,
William R. White , Subject Files ," busing, 1976",1977.,,,
William R. White , Subject Files ," campaign contributions by federal employees, background materials, 1974",1979.,,,
William R. White , Subject Files ," Cardington, Ohio, tornado, 1981.",,,,
William R. White , Subject Files ," census (1980) matters, 1979.",,,,
William R. White , Subject Files ," Cleveland, 1978",1981.,,,
William R. White , Subject Files , Close,"up Foundation, 1978",1981.,,
William R. White , Subject Files ," coal gasification, 1977",1978.,,,
William R. White , Subject Files ," coal, impact of the Clean Air Act on Ohio, 1978",1979.,,,
William R. White , Subject Files ," coal, impact of the Clean Air Act on Ohio, 1980",1981.,,,
William R. White , Subject Files ," coal, PPG Industries, Barberton plant, 1979.",,,,
William R. White , Subject Files ," coal, PPG Industries, Barberton plant, 1980.",,,,
William R. White , Subject Files ," coal strike, 1978.",,,,
William R. White , Subject Files ," coal washing project, 1978",1980.,,,
William R. White , Subject Files ," Columbus, Capitol South Project, 1975",1981.,,,
William R. White , Subject Files ," Congressional Fellow Program, 1976.",,,,
William R. White , Subject Files ," constituent casework, White House Survey on, 1977.",,,,
William R. White , Subject Files ," Cooper Tire and Rubber Company, 1977",1978.,,,
William R. White , Subject Files ," Corey, Paul A.",,,,
William R. White , Subject Files ," correspondence, bicentennial, 1976 (sampled).",,,,
William R. White , Subject Files ," correspondence, complaints, 1976 (sampled).",,,,
William R. White , Subject Files ," correspondence, general, 1976 (sampled).",,,,
William R. White , Subject Files ," correspondence, legislation, 1976",1981 (sampled).,,,
William R. White , Subject Files ," correspondence, majority leader, 1976 (sampled).",,,,
William R. White , Subject Files ," correspondence, thank","you letters, 1981",1982 (sampled).,,
William R. White , Subject Files ," correspondence, voting record, 1976",1981 (sampled).,,,
William R. White , Subject Files , Davis,"Besse Nuclear Power Station, 1975.",,,
William R. White , Subject Files ," Department of Defense, Defense Logistics Agency, 1977",1979.,,,
William R. White , Subject Files ," Democratic National Convention, 1976.",,,,
William R. White , Subject Files ," Democratic National Convention, JHG's keynote speech, 1976.",,,,
William R. White , Subject Files ," Democratic National Strategy Council, 1982.",,,,
William R. White , Subject Files ," Dillingham Corporation, 1977.",,,,
William R. White , Subject Files ," Disalle, Michael V., 1977",1979.,,,
William R. White , Subject Files ," economy, 1982.",,,,
William R. White , Subject Files ," Egan, Michael, 1978.",,,,
William R. White , Subject Files ," endorsements, 1976.",,,,
William R. White , Subject Files ," energy emergencies in Ohio, 1977",1978.,,,
William R. White , Subject Files ," émigrés, 1977",1978.,,,
William R. White , Subject Files ," Federal Grants and Projects Workshop Series, 1978.",,,,
William R. White , Subject Files ," Federal Power Commission (Ohio ), 1977.",,,,
William R. White , Subject Files ," Ford, Carl (Foreign Relations Committee and 1984 presidential campaign).",,,,
William R. White , Subject Files ," Garland, Snyder (Greene County, Ohio, Branch, NAACP), 1978.",,,,
William R. White , Subject Files ," Gillian, Reginald, appointment to Interstate Commerce Commission Board, 1976",1980.,,,
William R. White , Subject Files ," grants workshops in Ohio, JHG sponsored, 1977",1979.,,,
William R. White , Subject Files ," Health, Education and Welfare (Federal Department of), 1977",1978; cuts in Medicare funding to Ohio.,,,
William R. White , Subject Files ," Heinz, Senator John, 1982.",,,,
William R. White , Subject Files ," high speed rail, 1982.",,,,
William R. White , Subject Files ," Hole, William E., correspondence, 1975",1976.,,,
William R. White , Subject Files ," Hole, William E., correspondence, 1977",1978.,,,
William R. White , Subject Files ," Hole, William E., correspondence, 1979",1981.,,,
William R. White , Subject Files ," Hoskins, Clayton C., 1980",1983.,,,
William R. White , Subject Files ," Housing and Urban Development (Federal Department of), 1975",1978.,,,
William R. White , Subject Files ," Humphrey, Hubert H., 1978.",,,,
William R. White , Subject Files ," industrial fastener industry, 1977",1979.,,,
William R. White , Subject Files ," Kent State University, 1977.",,,,
William R. White , Subject Files ," Kerr, Frank (Batin Iran Corporation), 1978.",,,,
William R. White , Subject Files ," Kucinich, Dennis, 1977",1978.,,,
William R. White , Subject Files ," Leahy, Patrick, 1982.",,,,
William R. White , Subject Files ," Leadership Cleveland, 1978",1981.,,,
William R. White , Subject Files ," Lifmann, Edward (Arthur Teachers Fish & Chips, Inc.), 1977",1979.,,,
William R. White , Subject Files ," Lorain (Ohio) water tower, 1977",1978.,,,
William R. White , Subject Files ," Lubbers, William A., 1979",1980.,,,
William R. White , Subject Files ," Malabar Farms, 1976.",,,,
William R. White , Subject Files ," Marathon Oil Corporation, 1981.",,,,
William R. White , Subject Files ," Mead Corporation , 1978.",,,,
William R. White , Subject Files ," Metzenbaum, Howard M., 1976.",,,,
William R. White , Subject Files ," Muskingum College lawsuit, 1979.",,,,
William R. White , Subject Files ," Newfield New Community Development, Dayton, 1977.",,,,
William R. White , Subject Files , Northeast,"Midwest Coalition, 1977",1981.,,
William R. White , Subject Files ," Ohio EPA, 1977",1979.,,,
William R. White , Subject Files ," Ohio EPA's problem with pollution discharge elimination system permits, 1978.",,,,
William R. White , Subject Files ," Ohio Trading Company, 1979",,,,
William R. White , Subject Files ," Owens/Corning Fiberglass Corporation, 1977",1979.,,,
William R. White , Subject Files , Owens,Illinois (William F. Niehous kidnapping in Venezuela).,,,
William R. White , Subject Files ," Patriot's Pledge, 1977.",,,,
William R. White , Subject Files ," People's Republic of China trip, 1976.",,,,
William R. White , Subject Files ," Plum Brook Station Power Facility, 1979 (Garrett Company interest in).",,,,
William R. White , Subject Files ," polls, 1977",1978.,,,
William R. White , Subject Files ," projects, 1977",1980.,,,
William R. White , Subject Files ," recommendations, 1976.",,,,
William R. White , Subject Files ," Republic of China (Taiwan), trip, 1976.",,,,
William R. White , Subject Files ," Republic of China (Taiwan), trade mission, 1981.",,,,
William R. White , Subject Files ," requests, 1976.",,,,
William R. White , Subject Files ," Rhodes, James A., 1977.",,,,
William R. White , Subject Files ," Rickenbacker Air Force Base, 1978",1981.,,,
William R. White , Subject Files ," Sanders, Gerald H., 1978.",,,,
William R. White , Subject Files ," Saudi Arabia, sale of arms to, 1981.",,,,
William R. White , Subject Files ," senate office organization, 1976",1980.,,,
William R. White , Subject Files ," schedule (JHG's), 1981",1982.,,,
William R. White , Subject Files ," scrap iron and steel industry, 1975.",,,,
William R. White , Subject Files ," steel industry, correspondence on the, 1977",1978.,,,
William R. White , Subject Files ," steel industry, Dear Colleagues letters, 1977.",,,,
William R. White , Subject Files ," steel industry, memorandum ( JHG staff) on, 1977",1978.,,,
William R. White , Subject Files ," steel industry, miscellaneous materials "," notes, statements, and news clips, 1977",1978.,,
William R. White , Subject Files ," steel industry, news releases on the, 1977",1978.,,,
William R. White , Subject Files ," steel industry, information on specialty steel, 1977.",,,,
William R. White , Subject Files ," steel industry, White House meeting on the, October 1977.",,,,
William R. White , Subject Files ," steel industry, White House report on the, December 1977.",,,,
William R. White , Subject Files ," Traficant, James A., 1982.",,,,
William R. White , Subject Files ," United Arab Emigrates trip, background materials, 1982.",,,,
William R. White , Subject Files ," United Arab Emigrates trip, Carl Ford briefing book, 1982.",,,,
William R. White , Subject Files ," United Arab Emigrates trip, general file, 1982.",,,,
William R. White , Subject Files ," Vistron Corporation, 1979.",,,,
William R. White , Subject Files ," Western Reserve Economic Development Agency, 1975",1977.,,,
William R. White , Subject Files ," Williams, Senator Harrison A., 1976",1981.,,,
William R. White , Telephone Log , May , June 1975.,,,
William R. White , Telephone Log , July , August 1975.,,,
William R. White , Telephone Log , September , October 1975.,,,
William R. White , Telephone Log , November , December 1975.,,,
William R. White , Telephone Log , January , February 1976.,,,
William R. White , Telephone Log , March , April 1976.,,,
William R. White , Telephone Log , May , June 1976.,,,
William R. White , Telephone Log , July , August 1976.,,,
William R. White , Telephone Log , September , October 1976.,,,
William R. White , Telephone Log , November , December 1976.,,,
William R. White , Telephone Log , January , February 1977.,,,
William R. White , Telephone Log , March , April 1977.,,,
William R. White , Telephone Log , May , June 1977.,,,
William R. White , Telephone Log , July , August 1977.,,,
William R. White , Telephone Log , September , October 1977.,,,
William R. White , Telephone Log , November , December 1977.,,,
William R. White , Telephone Log , January , February 1978.,,,
William R. White , Telephone Log , April 1978.,,,,
William R. White , Telephone Log , May , June 1978.,,,
William R. White , Telephone Log , July , August 1978.,,,
William R. White , Telephone Log , September , October 1978.,,,
William R. White , Telephone Log , November , December 1978.,,,
William R. White , Telephone Log , January , February 1979.,,,
William R. White , Telephone Log , March , April 1979.,,,
William R. White , Telephone Log , May , June 1979.,,,
William R. White , Telephone Log , July , August 1979.,,,
William R. White , Telephone Log , September , October 1979.,,,
William R. White , Telephone Log , November , December 1979.,,,
William R. White , Telephone Log , January , February 1980.,,,
William R. White , Telephone Log , March , April 1980.,,,
William R. White , Telephone Log , May , June 1980.,,,
William R. White , Telephone Log , July , August 1980.,,,
William R. White , Telephone Log , September , November 1980.,,,
William R. White , Telephone Log , November , December 1980.,,,
Mary Jane Veno , Correspondence ," Arnold, Caroline, 1989",1990.,,,
Mary Jane Veno , Correspondence ," Arnold, Caroline, 1991.",,,,
Mary Jane Veno , Correspondence ," Arnold, Caroline, 1992",1996.,,,
Mary Jane Veno , Correspondence ," Allen, Pongsum Choi (Sunny), 1996.",,,,
Mary Jane Veno , Correspondence ," Austin, Gerald J., no date, circa 1992.",,,,
Mary Jane Veno , Correspondence ," Avakian, Stephen, 1990",1995.,,,
Mary Jane Veno , Correspondence ," Baltimore, Warren, 1996.",,,,
Mary Jane Veno , Correspondence ," Barnes, Michael D., 1988",1989.,,,
Mary Jane Veno , Correspondence ," Beach, Milton, 1987",1991.,,,
Mary Jane Veno , Correspondence ," Bell, Rebecca, 1989",1992.,,,
Mary Jane Veno , Correspondence ," Berman, Jeff, 1986",1987.,,,
Mary Jane Veno , Correspondence ," Bonner, Mary Pat, 1992",1993.,,,
Mary Jane Veno , Correspondence ," Bluso, Pat, 1988",1994.,,,
Mary Jane Veno , Correspondence ," Branstool, Eugene, 1993.",,,,
Mary Jane Veno , Correspondence ," Brown, Sherrod, 1989",1990.,,,
Mary Jane Veno , Correspondence ," Brown, William J., 1987",1995.,,,
Mary Jane Veno , Correspondence ," Bruns, Kevin, 1987",1988.,,,
Mary Jane Veno , Correspondence ," Buckheit, Patricia, 1988",1996.,,,
Mary Jane Veno , Correspondence ," Butland, Dale, 1987",1989.,,,
Mary Jane Veno , Correspondence ," Butland, Dale, 1990",1994.,,,
Mary Jane Veno , Correspondence ," Butland, Dale, 1995",1998.,,,
Mary Jane Veno , Correspondence ," Buyrne, Audrey, 1996.",,,,
Mary Jane Veno , Correspondence ," Cannon, Douglas E., 1996.",,,,
Mary Jane Veno , Correspondence ," Carnohan, Susan, 1988",1997.,,,
Mary Jane Veno , Correspondence ," Celebreeze, Anthony J., Jr., 1989",1990.,,,
Mary Jane Veno , Correspondence ," Celeste, Richard F., 1988",1990.,,,
Mary Jane Veno , Correspondence ," Chesley, Stanley M., 1996",1998.,,,
Mary Jane Veno , Correspondence ," Connolly, Kathy, 1987",1998.,,,
Mary Jane Veno , Correspondence ," Cooper, Kevin, 1998.",,,,
Mary Jane Veno , Correspondence ," Dancy, John, 1987.",,,,
Mary Jane Veno , Correspondence ," Denney, Jan, 1991.",,,,
Mary Jane Veno , Correspondence ," Diemer, Tom (and Epstein, Keith), 1998.",,,,
Mary Jane Veno , Correspondence ," Eckart, Dennis E., 1984.",,,,
Mary Jane Veno , Correspondence ," Feighan, Edward F., 1984",1985.,,,
Mary Jane Veno , Correspondence ," Fisher, Lee, 1990 and 1997.",,,,
Mary Jane Veno , Correspondence ," Fisher, Lee, (Fernald Nuclear Site), 1991.",,,,
Mary Jane Veno , Correspondence ," Flaherty, William J., 1995.",,,,
Mary Jane Veno , Correspondence ," Fleshler, David, 1996.",,,,
Mary Jane Veno , Correspondence ," Forman, Ira N., 1988.",,,,
Mary Jane Veno , Correspondence ," General, 1985",1986.,,,
Mary Jane Veno , Correspondence ," General, January ", June 1987.,,,
Mary Jane Veno , Correspondence ," General, July ", December 1987.,,,
Mary Jane Veno , Correspondence ," General, 1988.",,,,
Mary Jane Veno , Correspondence ," General, 1989.",,,,
Mary Jane Veno , Correspondence ," General, 1990.",,,,
Mary Jane Veno , Correspondence ," General, 1991.",,,,
Mary Jane Veno , Correspondence ," General, 1992.",,,,
Mary Jane Veno , Correspondence ," General, January ", June 1993.,,,
Mary Jane Veno , Correspondence ," General, July ", December 1993.,,,
Mary Jane Veno , Correspondence ," General, January ", June 1994.,,,
Mary Jane Veno , Correspondence ," General, July ", December 1994.,,,
Mary Jane Veno , Correspondence ," General, 1995.",,,,
Mary Jane Veno , Correspondence ," General, 1997",1998.,,,
Mary Jane Veno , Correspondence ," Gilliam, Reginald E., Jr., 1996.",,,,
Mary Jane Veno , Correspondence ," Glenn, Annie, 1986",1988.,,,
Mary Jane Veno , Correspondence ," Grimes, Ron, 1996.",,,,
Mary Jane Veno , Correspondence ," Guthrie, Marc D., 1996.",,,,
Mary Jane Veno , Correspondence ," Haseley, John, 1992",1994.,,,
Mary Jane Veno , Correspondence ," Haussler, Jakki, 1996.",,,,
Mary Jane Veno , Correspondence ," Holschuh, John D., 1996.",,,,
Mary Jane Veno , Correspondence ," Hughes, Martin J., 1992.",,,,
Mary Jane Veno , Correspondence ," Hyatt, Joel Z., 1990",1994.,,,
Mary Jane Veno , Correspondence ," Jacobs, Harry A., Jr., 1988",1998.,,,
Mary Jane Veno , Correspondence ," Jones, Stephanie, J., 1996.",,,,
Mary Jane Veno , Correspondence ," Judges, letters from various, 1994",1996.,,,
Mary Jane Veno , Correspondence ," Kennedy, Michael, 1989.",,,,
Mary Jane Veno , Correspondence ," Kessler, John W., 1988",1993.,,,
Mary Jane Veno , Correspondence ," Lehman, Harry J., 1995.",,,,
Mary Jane Veno , Correspondence ," Lifsey, Diane, 1988",1997.,,,
Mary Jane Veno , Correspondence ," Long, Kathleen, 1996.",,,,
Mary Jane Veno , Correspondence ," Matthews, Susan, 1996.",,,,
Mary Jane Veno , Correspondence ," McAlister, Robert, 1985.",,,,
Mary Jane Veno , Correspondence ," McCoy, John B., 1995",1996.,,,
Mary Jane Veno , Correspondence ," McDonald, Tom, 1998.",,,,
Mary Jane Veno , Correspondence ," McKenna, Suzanne, 1993",1998.,,,
Mary Jane Veno , Correspondence ," McLarty, Thomas F., 1997.",,,,
Mary Jane Veno , Correspondence ," McMullen, Daniel J., 1994.",,,,
Mary Jane Veno , Correspondence ," Meshel, Harry, 1988",1993.,,,
Mary Jane Veno , Correspondence ," Metzenbaum, Howard M., 1988.",,,,
Mary Jane Veno , Correspondence ," Mihlbaugh, Robert H., 1990",1993.,,,
Mary Jane Veno , Correspondence ," Miller, Ray T., Jr., 1988.",,,,
Mary Jane Veno , Correspondence ," Mitchell, Donald, 1988",1998.,,,
Mary Jane Veno , Correspondence ," Nunn, Sam, 1988.",,,,
Mary Jane Veno , Correspondence ," Oakar, Mary Rose, 1988",1989.,,,
Mary Jane Veno , Correspondence ," Packwood, Bob, 1993.",,,,
Mary Jane Veno , Correspondence ," Palumbo, Benjamin L., 1989",1991.,,,
Mary Jane Veno , Correspondence ," Parson, Linda, 1988.",,,,
Mary Jane Veno , Correspondence ," Perry, Barbara J., 1991",1998.,,,
Mary Jane Veno , Correspondence ," Petro, Michael J., 1992",1993.,,,
Mary Jane Veno , Correspondence ," Pomeroy, Harlan, 1989",1992.,,,
Mary Jane Veno , Correspondence ," Pressler, Laurel (Sen. Mike DeWine's office), 1996",1998.,,,
Mary Jane Veno , Correspondence ," Quayle, Dan, 1989.",,,,
Mary Jane Veno , Correspondence ," Riffe, Vernal G., 1988",1997.,,,
Mary Jane Veno , Correspondence ," Ruppert, Rupert E., 1987",1994.,,,
Mary Jane Veno , Correspondence ," Ryan, Stephan M., 1995.",,,,
Mary Jane Veno , Correspondence ," Salinger, Pierre, 1996.",,,,
Mary Jane Veno , Correspondence ," Sammon, Martin J., 1987",1994.,,,
Mary Jane Veno , Correspondence ," Shipman, Paul, 1987.",,,,
Mary Jane Veno , Correspondence ," Stoddard, Richard S., 1997.",,,,
Mary Jane Veno , Correspondence ," Stokes, Louis, 1989",1991.,,,
Mary Jane Veno , Correspondence ," Thank You Letters, 1987",1989.,,,
Mary Jane Veno , Correspondence ," Thank You Letters, 1990",1991.,,,
Mary Jane Veno , Correspondence ," Thank You Letters, 1992",1993.,,,
Mary Jane Veno , Correspondence ," Thank You Letters, 1996",1998.,,,
Mary Jane Veno , Correspondence ," Tipps, Paul, 1988",1998.,,,
Mary Jane Veno , Correspondence ," Warner, Marvin, 1987.",,,,
Mary Jane Veno , Correspondence ," Watson, Shannon, 1992",1996.,,,
Mary Jane Veno , Correspondence ," Weiss, Leonard, 1988 and 1997.",,,,
Mary Jane Veno , Correspondence ," Werner, Roy A., 1988",1993.,,,
Mary Jane Veno , Correspondence ," Wexner, Leslie, 1989",1992.,,,
Mary Jane Veno , Correspondence ," White, Michael, 1989",1991.,,,
Mary Jane Veno , Correspondence ," White, William R., 1986",1987.,,,
Mary Jane Veno , Correspondence ," Wilhelm, David, 1988.",,,,
Mary Jane Veno , Correspondence ," Wolf, Milton A., 1989",1997.,,,
Mary Jane Veno , Correspondence ," Woods, Richard J., 1996",1998.,,,
Mary Jane Veno , County Files ," Ashtabula County, 1986.",,,,
Mary Jane Veno , County Files ," Athens County, 1985.",,,,
Mary Jane Veno , County Files ," Belmont County, 1992.",,,,
Mary Jane Veno , County Files ," Butler County, 1989",1990.,,,
Mary Jane Veno , County Files ," Clark County, 1985 and 1988",1992.,,,
Mary Jane Veno , County Files ," Columbiana County, 1986",1991.,,,
Mary Jane Veno , County Files ," Cuyahoga County, 1979",1985.,,,
Mary Jane Veno , County Files ," Cuyahoga County, 1986",1987.,,,
Mary Jane Veno , County Files ," Cuyahoga County, 1988",1989.,,,
Mary Jane Veno , County Files ," Cuyahoga County, 1990.",,,,
Mary Jane Veno , County Files ," Cuyahoga County, 1991.",,,,
Mary Jane Veno , County Files ," Cuyahoga County, 1992",1993.,,,
Mary Jane Veno , County Files ," Darke County, 1985 and 1989.",,,,
Mary Jane Veno , County Files ," Delaware County, 1991.",,,,
Mary Jane Veno , County Files ," Erie County, 1987",1992.,,,
Mary Jane Veno , County Files ," Fairfield County, 1990.",,,,
Mary Jane Veno , County Files ," Franklin County, 1985",1986.,,,
Mary Jane Veno , County Files ," Franklin County, 1987.",,,,
Mary Jane Veno , County Files ," Franklin County, 1988.",,,,
Mary Jane Veno , County Files ," Franklin County, 1989",1990.,,,
Mary Jane Veno , County Files ," Franklin County, 1991.",,,,
Mary Jane Veno , County Files ," Franklin County, 1992.",,,,
Mary Jane Veno , County Files ," Fulton County, 1985.",,,,
Mary Jane Veno , County Files ," Gallia County, 1992.",,,,
Mary Jane Veno , County Files ," Greene County, 1987",1992.,,,
Mary Jane Veno , County Files ," Guernsey County, 1988 and 1991.",,,,
Mary Jane Veno , County Files ," Hamilton County, 1985",1992.,,,
Mary Jane Veno , County Files ," Highland County, 1986 and 1990.",,,,
Mary Jane Veno , County Files ," Huron County, 1987",1990.,,,
Mary Jane Veno , County Files ," Jackson County, 1991",1992.,,,
Mary Jane Veno , County Files ," Jefferson County, 1984 and 1990",1992.,,,
Mary Jane Veno , County Files ," Knox County, 1985 and 1990",1991.,,,
Mary Jane Veno , County Files ," Lake County, 1990",1992.,,,
Mary Jane Veno , County Files ," Licking County, 1987.",,,,
Mary Jane Veno , County Files ," Lorain County, 1987",1990.,,,
Mary Jane Veno , County Files ," Lucas County, 1985",1992.,,,
Mary Jane Veno , County Files ," Mahoning County, 1978",1992.,,,
Mary Jane Veno , County Files ," Marion County, 1993.",,,,
Mary Jane Veno , County Files ," Medina County, 1985.",,,,
