0,1,2,3,4,5,6
Mary Jane Veno , County Files ," Meigs County, 1985.",,,,
Mary Jane Veno , County Files ," Miami County, 1990.",,,,
Mary Jane Veno , County Files ," Monroe County, 1988.",,,,
Mary Jane Veno , County Files ," Montgomery County, 1987",1990.,,,
Mary Jane Veno , County Files ," Montgomery County, 1991",1992.,,,
Mary Jane Veno , County Files ," Muskingum County, 1987",1992.,,,
Mary Jane Veno , County Files ," Ottawa County, 1992.",,,,
Mary Jane Veno , County Files ," Perry County, 1986.",,,,
Mary Jane Veno , County Files ," Pickaway County, 1987.",,,,
Mary Jane Veno , County Files ," Pike County, 1985.",,,,
Mary Jane Veno , County Files ," Portage County, 1985 and 1988",1991.,,,
Mary Jane Veno , County Files ," Preble County, 1988.",,,,
Mary Jane Veno , County Files ," Richland County, 1985",1992.,,,
Mary Jane Veno , County Files ," Ross County, 1985 and 1992.",,,,
Mary Jane Veno , County Files ," Sandusky County, 1985.",,,,
Mary Jane Veno , County Files ," Seneca County, 1987.",,,,
Mary Jane Veno , County Files ," Shelby County, 1988",1992.,,,
Mary Jane Veno , County Files ," Stark County, 1985 and 1989",1992.,,,
Mary Jane Veno , County Files ," Summit County, 1985",1992.,,,
Mary Jane Veno , County Files ," Trumbull County, 1985.",,,,
Mary Jane Veno , County Files ," Tuscarawas County, 1988",1989.,,,
Mary Jane Veno , County Files ," Washington County, 1992.",,,,
Mary Jane Veno , County Files ," Wayne County, 1985.",,,,
Mary Jane Veno , Presidential Campaign Debt ," Baker and Hostetler Law Firm, correspondence and legal papers, 1985",1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Baker and Hostetler Law Firm, correspondence and legal papers, January ", March 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Baker and Hostetler Law Firm, correspondence and legal papers, April 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Baker and Hostetler Law Firm, correspondence and legal papers, May ", October 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Baker and Hostetler Law Firm, correspondence and legal papers, 1988",1989.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Baker and Hostetler Law Firm, reference material, 1985.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Banks, loan agreement, February 1984.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Banks, general file, 1985",1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Constituent Correspondence, 1987",1993.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Constituent Correspondence, 1996.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Craver, Mathews, Smith and Company, proposed direct mail fund raising project, June 1985.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listings, April 1, 1985.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listing, no date, circa 1985",1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listing, no date, circa 1992.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listing, December 1993 (draft).  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listing, December 1993 (revised).  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listing, May 1994.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Creditors Listing, debts owed to the John Glenn Presidential Committee, no date.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Direct Mail Letters, 1984.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Elections Commission, charges against the John Glenn Presidential Committee, 1985",1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Elections Commission, reference materials on campaign financing, 1987",1988.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, January ", March 1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, April ", June 1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, July ", September 1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, October ", December 1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, January ", March 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, April ", June 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, July ", September 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, October ", December 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, January ", March 1988.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, April ", June 1988.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, July ", September 1988.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission Report of Receipts and Disbursements, October ", December 1988.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Federal Election Commission, review correspondence, 1986.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, Dallas, Texas, September 27, 1985. CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, listing of 1987 events.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, March ", April 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, May ", June 1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, July 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, January ", May 1994.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Fund Raising Events, June ", August 1994.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Friendship Fund, 1984.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1983.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, March ", April 1984.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, May ", June 1984.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, July ", December 1984.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Operation Ramrod fund raising project, 1984.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, summary of post","withdrawal revenues and expenses, July 1984.  CLOSED UNTIL THE YEAR 2017",,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, January ", June 1985.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, July ", December 1985.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Federal Elections Commission audit, 1985.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1986.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Kindness for Senate complaint against to the Federal Elections Commission, 1986.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, thank you letters to donors, 1986.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, donor listing and financial reports, 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Federal Election Commission audit, advisory opinion requests, 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Federal Election Commission audit, committee responses to commission discovery requests, 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Federal Election Commission audit, commission report, 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Federal Election Commission audit, committee responses to commission report, 1987.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1988.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1989",1990.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Common Cause complaint to the Federal Elections Commission against, 1989.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1991.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, 1992.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, January ", June 1993.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, general file, July ", December 1993.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, Bonner Group fund raising project, 1993.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, debt settlement plan (proposed), February 1993.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee, files marked miscellaneous, 1993",1994.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), general file, January ", June 1994.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), general file, July ", December 1994.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), Bonner Group fund raising project, 1994.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), donor listings, 1994.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), status report, June 1994.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), general file, 1995",1996.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), debt settlement plan, August 28, 1995.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," John Glenn Presidential Committee (Friends of John Glenn), debt settlement plan, August 1996.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., January ", May 1991.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., June ", August 1991.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., September ", December 1991.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., January ", February 1992.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., March ", May 1992.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., June ", December 1992.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Lakefront Lines, Inc., January ", April 1993.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Ross R. Paul, 1984",1986.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lawsuits, Ross R. Paul, 1987",1991.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lead Marketing International, Inc., 1984",1985.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Lifflander, Matthew L., correspondence, 1987",1989.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Senate Campaign (1992), proposal to transfer excessive funds to the John Glenn Presidential Committee, November ", December 1992.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," Summary of Debt (compiled for Paul Tipps), August 1988.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," White Paper, ""Bank Loans to Candidates for Federal Office,"" 1986.  CLOSED UNTIL THE YEAR 2017",,,,
Mary Jane Veno , Presidential Campaign Debt ," White, William, correspondence, 1985",1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," White, William, correspondence, 1988",1990.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Presidential Campaign Debt ," White, William, memoranda on debt status, 1985",1987.  CLOSED UNTIL THE YEAR 2017,,,
Mary Jane Veno , Subject Files ," Abortion, Ohio poll on, 1989.",,,,
Mary Jane Veno , Subject Files ," Absentee Ballots, 1989.",,,,
Mary Jane Veno , Subject Files ," ""America's Most Wanted"" (television program), 1989",1990.,,,
Mary Jane Veno , Subject Files ," Ameriflora `92, 1988",1990.,,,
Mary Jane Veno , Subject Files ," Arthur Anderson and Company, 1985",1989.,,,
Mary Jane Veno , Subject Files ," Bickmore, Hattie M., 1993.",,,,
Mary Jane Veno , Subject Files ," Casework Status Reports, 1995.",,,,
Mary Jane Veno , Subject Files ," Citizens for John Glenn Committee, 1987",1989.,,,
Mary Jane Veno , Subject Files ," Citizens League Research Institute, 1990.",,,,
Mary Jane Veno , Subject Files ," Cleveland Mayoral Race, 1989.",,,,
Mary Jane Veno , Subject Files ," Code of Conduct Seminar, 1990.",,,,
Mary Jane Veno , Subject Files ," Common Cause/Chiquita Banana, 1995.",,,,
Mary Jane Veno , Subject Files ," Congressional Award, 1993.",,,,
Mary Jane Veno , Subject Files ," Congressional Management Foundation, 1992.",,,,
Mary Jane Veno , Subject Files ," Democratic Foundation of Orange County (California), 1987.",,,,
Mary Jane Veno , Subject Files ," Democratic National Committee, 1987",,,,
Mary Jane Veno , Subject Files ," Democratic National Committee, 1993.",,,,
Mary Jane Veno , Subject Files ," Democratic Senatorial Campaign Committee, 1988 and 1993.",,,,
Mary Jane Veno , Subject Files ," Disarmament Conference, Geneva, Switzerland, report on by Leonard Weiss, September 1998.",,,,
Mary Jane Veno , Subject Files ," Eisenhower National Clearinghouse, Ohio State University College of Education, 1996.",,,,
Mary Jane Veno , Subject Files ," Endorsements, requests for JHG's in the 1988 elections.",,,,
Mary Jane Veno , Subject Files ," Endorsements, requests for JHG's in the 1989 elections.",,,,
Mary Jane Veno , Subject Files ," Endorsements, requests for JHG's in the 1990 elections.",,,,
Mary Jane Veno , Subject Files ," Election Reform, 1990.",,,,
Mary Jane Veno , Subject Files ," Ethics/Code of Conduct, 1991",1992.,,,
Mary Jane Veno , Subject Files ," Exchange Club of Capitol Hill, 1996.",,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1973",1979.,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1980",1983.,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1984",1986.,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1987.",,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1988.",,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1989.",,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1990",1991.,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1992",1993.,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1994",1996.,,,
Mary Jane Veno , Subject Files ," Financial Disclosure Statements, JHG's, 1997",1998.,,,
Mary Jane Veno , Subject Files ," Fund Raising Lists, 1984",1988.,,,
Mary Jane Veno , Subject Files ," General Accounting Office, Comptroller General, 1997.",,,,
Mary Jane Veno , Subject Files ," General Services Administration (GSA), 1993",1994.,,,
Mary Jane Veno , Subject Files ," Hatch Act Reform Amendment, restriction on congressional recommendations for federal employees, 1994.",,,,
Mary Jane Veno , Subject Files ," Kent State University, 1989",1991.,,,
Mary Jane Veno , Subject Files ," Labor, 1988",1991.,,,
Mary Jane Veno , Subject Files ," Lewis Research Center, NASA, 1988",1990.,,,
Mary Jane Veno , Subject Files ," Limited Stores, Inc., 1988",1989.,,,
Mary Jane Veno , Subject Files ," Lincoln Savings and Loan (Charles Keating) Investigation, JHG's letter to constituents about, 1990.",,,,
Mary Jane Veno , Subject Files ," Made in the USA Foundation, 1990.",,,,
Mary Jane Veno , Subject Files ," Mercury 7 Foundation, 1991.",,,,
Mary Jane Veno , Subject Files ," Metzenbaum, Howard H., senate campaign, 1988.",,,,
Mary Jane Veno , Subject Files ," Michelin Tire Company, 1989.",,,,
Mary Jane Veno , Subject Files ," Monterey Institute of International Studies, 1993.",,,,
Mary Jane Veno , Subject Files ," Muskingum College, 1990",1996.,,,
Mary Jane Veno , Subject Files ," National Aeronautics and Space Administration (NASA), 1988.",,,,
Mary Jane Veno , Subject Files ," NASA, Space Shuttle Discovery mission STS","95, correspondence, 1998.",,,
Mary Jane Veno , Subject Files ," NASA, Space Shuttle Discovery mission STS","95, product endorsement requests, 1998.",,,
Mary Jane Veno , Subject Files ," National Association of Retail Dealers of America, 1986.",,,,
Mary Jane Veno , Subject Files ," National Aviation Hall of Fame, 1990.",,,,
Mary Jane Veno , Subject Files ," National Democratic Club, 1986.",,,,
Mary Jane Veno , Subject Files ," Ohio Aerospace Institute, 1989.",,,,
Mary Jane Veno , Subject Files ," Ohio Business Roundtable, 1996.",,,,
Mary Jane Veno , Subject Files ," Ohio Congressional Delegation, 1991",1993.,,,
Mary Jane Veno , Subject Files ," Ohio Democratic Party, 1995",1997.,,,
Mary Jane Veno , Subject Files ," Ohio Democratic Party, Ohio Day in Washington, D.C., 1995.",,,,
Mary Jane Veno , Subject Files ," Ohio Senate, 1996.",,,,
Mary Jane Veno , Subject Files ," Ohio State University, 1997.",,,,
Mary Jane Veno , Subject Files ," Poll of Ohio Voters by Paul Werth Associates, September 1997.",,,,
Mary Jane Veno , Subject Files ," Presidential Boards and Commissions, 1993.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Democratic National Committee, Dukakis talking points, October 1988.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Democratic National Committee, general file, August ", September 1988.,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Democratic National Committee, general file, October ", November 1988.,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Democratic National Convention.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Democratic Primary Election, candidates.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Democratic Primary Election, general file.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Dukakis, Michael, 1987.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Dukakis, Michael, May ", September 1988.,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Dukakis, Michael, October ", November 1988.,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1988, Vice President, selection of.",,,,
Mary Jane Veno , Subject Files ," Presidential Campaign, 1996.",,,,
Mary Jane Veno , Subject Files ," Presidential Inauguration, 1993.",,,,
Mary Jane Veno , Subject Files ," Presidential Inauguration, 1997.",,,,
Mary Jane Veno , Subject Files ," Ratings, Democratic Policy Committee report on interest group ratings of senators, 1993.",,,,
Mary Jane Veno , Subject Files ," Savings and Loan Crisis, 1985.",,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1986, Kindness, Thomas N.",,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1986, meeting minutes, 1985",1986.,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1992, fund raising, 1989",1992.,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1992, general file.",,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1992, newsletter.",,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1992, presidential campaign debt issue.",,,,
Mary Jane Veno , Subject Files ," Senate Campaign, 1992, scheduling memo and JHG's notes.",,,,
Mary Jane Veno , Subject Files ," Senate Chaplin, 1994",1995.,,,
Mary Jane Veno , Subject Files ," Senate Staff (JHG's) Conference, 1986.",,,,
Mary Jane Veno , Subject Files ," Senate Staff (JHG's), memoranda, 1991",1998.,,,
Mary Jane Veno , Subject Files ," Sergio, Eugene B., Jr., 1993.",,,,
Mary Jane Veno , Subject Files ," Surrogate Meeting and Event Reports, March ", June 1995.,,,
Mary Jane Veno , Subject Files ," Surrogate Meeting and Event Reports, July ", September 1995.,,,
Mary Jane Veno , Subject Files ," Time/Life book series proposal, February 1999.",,,,
Mary Jane Veno , Subject Files ," Tourism Summit (Congressman Ted Strickland sponsored), 1994.",,,,
Mary Jane Veno , Subject Files ," White House, contacts and general information on, 1993",1995.,,,
Mary Jane Veno , Subject Files , The Wilds (wild,"life refuge in Ohio), 1990",1993.,,
Mary Jane Veno , Subject Files ," Wolf, Milton A., appointment to the Foreign Intelligence Advisory Committee, 1997.",,,,
Mary Jane Veno , Subject Files ," Youngstown (Ohio), 1994",1996.,,,
Mary Jane Veno ," Telephone Logs, February 9 "," June 2, 1993.",,,,
Mary Jane Veno ," Telephone Logs, June 2 "," October 14, 1993.",,,,
Mary Jane Veno ," Telephone Logs, October 15, 1993 "," March 3, 1994.",,,,
Mary Jane Veno ," Telephone Logs, March 4 "," July 14, 1994.",,,,
Mary Jane Veno ," Telephone Logs, July 15 "," December 16, 1994.",,,,
Mary Jane Veno ," Telephone Logs, January 3 "," May 31, 1995.",,,,
Mary Jane Veno ," Telephone Logs, June 1 "," October 25, 1995.",,,,
Mary Jane Veno ," Telephone Logs, October 30, 1995 "," May 16, 1996.",,,,
Mary Jane Veno ," Telephone Logs, May 21, 1996 "," January 13, 1997.",,,,
Mary Jane Veno ," Telephone Logs, January 8 "," July 22, 1997.",,,,
Mary Jane Veno ," Telephone Logs, August 5, 1997 "," February 18, 1998.",,,,
Mary Jane Veno ," Telephone Logs, February 20 "," June 24, 1998.",,,,
Mary Jane Veno ," Telephone Logs, June 25 ", October 1998.,,,,
Mary Jane Veno ," Telephone Logs, October ", December 1998.,,,,
Mary Jane Veno ," Telephone Logs, January "," April 13, 1999.",,,,
Mary Jane Veno ," Telephone Logs, April 14 ", August 1999.,,,,
Mary Jane Veno ," Telephone Logs, October 1999 ", October 2000.,,,,
Mary Jane Veno ," Rolodex Telephone Files (3), 1990s.",,,,,
